Field Name,Poland
Key Project Parameters
Start Year,2025
Project Duration (years),20
Avg. Credits/ha/annum,26.3
Hectares of Potential Restoration,220
Investment / Financial Inputs (€),262485
Selling Price of a Carbon Credit (€),80
Results
Credits Generated,115720.00
Cost per Credit,6.08
Net Present Value,7704603
Gross Present Value,8125176
CARG,8.70
Profit per Credit,66.58
Profit per Hectare per Year,1751.05
Rate of Return,1154.98
Profitable,YES
Arguments
Number of Years,20
Credits per Hectare per Year,26.3
Hectares for Restoration,220
Investment Amount,262485
Start Year,2025
Price per Credit,80
Investment Costs Included,true
Registration Costs Included,true
Assumptions
Nominal Interest Rate,0.0235
Inflation Rate,0.021
Registry Account Opening Fee,0.001
Registry Listing Cost per Credit,0.05
Registry Conversion Cost Fee per Inspection,100
Registry Conversion Cost per Credit above Minimum Threshold,0.05
Registration Levy Cost per Credit,0.05
Validation and Verification Application Cost per Inspection,600
Validation and Verification Statement Cost per Inspection,800
Validation and Verification Inspector Travel Cost per Inspection,500
Inspection Cycle Length,5
Minimum Threshold of Credits,2000
Interest Rate,0.05
Payments per Year,12
Export Information
Export Date,2025-10-14T12:32:23.445Z
Export Timestamp,1760445143445
