Field Name,outsidewindowacroosroad
Key Project Parameters
Start Year,2025
Project Duration (years),50
Avg. Credits/ha/annum,3000
Hectares of Potential Restoration,5
Investment / Financial Inputs (€),74700
Selling Price of a Carbon Credit (€),80
Results
Credits Generated,750000.00
Cost per Credit,0.55
Net Present Value,52382567
Gross Present Value,52679825
CARG,0.76
Profit per Credit,69.84
Profit per Hectare per Year,209530.27
Rate of Return,12828.56
Profitable,YES
Arguments
Number of Years,50
Credits per Hectare per Year,3000
Hectares for Restoration,5
Investment Amount,74700
Start Year,2025
Price per Credit,80
Investment Costs Included,true
Registration Costs Included,true
Assumptions
Nominal Interest Rate,0.0235
Inflation Rate,0.021
Registry Account Opening Fee,0.001
Registry Listing Cost per Credit,0.05
Registry Conversion Cost Fee per Inspection,100
Registry Conversion Cost per Credit above Minimum Threshold,0.05
Registration Levy Cost per Credit,0.05
Validation and Verification Application Cost per Inspection,600
Validation and Verification Statement Cost per Inspection,800
Validation and Verification Inspector Travel Cost per Inspection,500
Inspection Cycle Length,5
Minimum Threshold of Credits,2000
Interest Rate,0.05
Payments per Year,12
Export Information
Export Date,2025-10-14T15:23:36.927Z
Export Timestamp,1760455416927
